conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/0399,"sociale wetenschappen, journalistiek en informatiewetenschappen, niet elders ingedeeld",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,0399
SkillGroup,http://data.europa.eu/esco/isced-f/04,"bedrijfskunde, bestuurskunde en recht",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,04
SkillGroup,http://data.europa.eu/esco/isced-f/040,"bedrijfskunde, bestuurskunde en recht, niet nader gedefinieerd",,,released,2020-12-10T13:24:05.932Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,040
SkillGroup,http://data.europa.eu/esco/isced-f/0400,"bedrijfskunde, bestuurskunde en recht, niet nader gedefinieerd",,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0400
SkillGroup,http://data.europa.eu/esco/isced-f/041,bedrijfskunde en bestuurskunde,,,released,2024-05-02T16:17:54.89Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,041
SkillGroup,http://data.europa.eu/esco/isced-f/0410,"bedrijfskunde en bestuurskunde, niet nader gedefinieerd",,,released,2023-06-20T14:39:25.865Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,0410
SkillGroup,http://data.europa.eu/esco/isced-f/0411,boekhouding en belastingen,,,released,2023-02-17T13:32:34.671Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0411
SkillGroup,http://data.europa.eu/esco/isced-f/0412,"financiën, banken en verzekeringen",,,released,2023-07-04T12:47:27.353Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0412
SkillGroup,http://data.europa.eu/esco/isced-f/0413,management en bestuur,,,released,2023-07-04T08:25:45.675Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,0413
SkillGroup,http://data.europa.eu/esco/isced-f/0414,marketing en reclame,,,released,2023-07-04T06:58:16.398Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,0414
